bi_BirthDay,object
bi_ColorCode,object
bi_FPedigreeCode1,object
bi_FPedigreeCode2,object
bi_FatherName,object
bi_MFPedigreeCode1,object
bi_MFPedigreeCode2,object
bi_MFatherName,object
bi_MotherName,object
bi_PedigreeID,object
bi_SexCode,object
bi_TypeCode,object
ei_CourseFirst,float64
ei_CourseLose,float64
ei_CourseSecond,float64
ei_CourseThird,float64
ei_DistFirst,float64
ei_DistLose,float64
ei_DistSecond,float64
ei_DistThird,float64
ei_FatherDirtQuinellaPer,float64
ei_FatherDistQuinellaPer,float64
ei_FatherTurfQuinellaPer,float64
ei_FrameFirst,float64
ei_FrameLose,float64
ei_FrameSecond,float64
ei_FrameThird,float64
ei_HighPaceFirst,float64
ei_HighPaceLose,float64
ei_HighPaceSecond,float64
ei_HighPaceThird,float64
ei_HorseID,object
ei_HorseNumber,float64
ei_InterFirst,float64
ei_InterLose,float64
ei_InterSecond,float64
ei_InterThird,float64
ei_JockeyBrinkerFirst,float64
ei_JockeyBrinkerLose,float64
ei_JockeyBrinkerSecond,float64
ei_JockeyBrinkerThird,float64
ei_JockeyDistFirst,float64
ei_JockeyDistLose,float64
ei_JockeyDistSecond,float64
ei_JockeyDistThird,float64
ei_JockeyFirst,float64
ei_JockeyLose,float64
ei_JockeyOwnerFirst,float64
ei_JockeyOwnerLose,float64
ei_JockeyOwnerSecond,float64
ei_JockeyOwnerThird,float64
ei_JockeySecond,float64
ei_JockeyThird,float64
ei_JockeyTrackDistFirst,float64
ei_JockeyTrackDistLose,float64
ei_JockeyTrackDistSecond,float64
ei_JockeyTrackDistThird,float64
ei_JockeyTrainerFirst,float64
ei_JockeyTrainerLose,float64
ei_JockeyTrainerSecond,float64
ei_JockeyTrainerThird,float64
ei_JraFirst,float64
ei_JraLose,float64
ei_JraSecond,float64
ei_JraThird,float64
ei_MiddlePaceFirst,float64
ei_MiddlePaceLose,float64
ei_MiddlePaceSecond,float64
ei_MiddlePaceThird,float64
ei_MotherDirtQuinellaPer,float64
ei_MotherDistQuinellaPer,float64
ei_MotherTurfQuinellaPer,float64
ei_OtherFirst,float64
ei_OtherLose,float64
ei_OtherSecond,float64
ei_OtherThird,float64
ei_RaceID,object
ei_RotationFirst,float64
ei_RotationLose,float64
ei_RotationSecond,float64
ei_RotationThird,float64
ei_SeasonFirst,float64
ei_SeasonLose,float64
ei_SeasonSecond,float64
ei_SeasonThird,float64
ei_SlowPaceFirst,float64
ei_SlowPaceLose,float64
ei_SlowPaceSecond,float64
ei_SlowPaceThird,float64
ei_SurfDistFirst,float64
ei_SurfDistLose,float64
ei_SurfDistSecond,float64
ei_SurfDistThird,float64
ei_SurfFirst,float64
ei_SurfLose,float64
ei_SurfSecond,float64
ei_SurfThird,float64
ei_SurfaceBadFirst,float64
ei_SurfaceBadLose,float64
ei_SurfaceBadSecond,float64
ei_SurfaceBadThird,float64
ei_SurfaceGoodFirst,float64
ei_SurfaceGoodLose,float64
ei_SurfaceGoodSecond,float64
ei_SurfaceGoodThird,float64
ei_SurfaceMiddleFirst,float64
ei_SurfaceMiddleLose,float64
ei_SurfaceMiddleSecond,float64
ei_SurfaceMiddleThird,float64
ei_TrainerOwnerFirst,float64
ei_TrainerOwnerLose,float64
ei_TrainerOwnerSecond,float64
ei_TrainerOwnerThird,float64
hi_Appearance,object
hi_ApprenticeClass,object
hi_BackLength,object
hi_BaseOdds,float64
hi_BasePlaceOdds,float64
hi_BasePlacePops,float64
hi_BasePops,float64
hi_BasisWeight,float64
hi_BellySize,object
hi_BodyComposite1,object
hi_BodyComposite2,object
hi_BodyComposite3,object
hi_BodyLength,object
hi_BodyType,object
hi_Brinker,object
hi_CancelFlag,object
hi_ChangeJockey,object
hi_ChangeStable,object
hi_ChestSize,object
hi_ClassCode,object
hi_ClassExperience,object
hi_ClassPrize,float64
hi_CompositeScore,object
hi_CompositeSign,object
hi_ConditionClass,object
hi_ConditionScore,object
hi_CourseCode,object
hi_DevelopmentSign,object
hi_DirtFitness,object
hi_DisciplineExperience,object
hi_DistanceExperience,object
hi_DistanceFitness,object
hi_DistanceFitness2,object
hi_DoCastration,object
hi_DowngradingFlag,object
hi_FirstphaseScore,float64
hi_FrameNumber,float64
hi_FrontLegLength,object
hi_FrontPastern,object
hi_FrontStepLength,object
hi_GeneralInfo1,float64
hi_GeneralInfo2,float64
hi_GeneralInfo3,float64
hi_GeneralInfo4,float64
hi_GeneralInfo5,float64
hi_HeadSize,object
hi_HeavyFitness,object
hi_HindLegLength,object
hi_HindPastern,object
hi_HindStepLength,object
hi_HipSize,object
hi_HoofCode,object
hi_HorseID,object
hi_HorseName,object
hi_HorseNumber,float64
hi_HorseRemarks1,object
hi_HorseRemarks2,object
hi_HorseRemarks3,object
hi_HorseSignCode,object
hi_IDM,object
hi_IDMSign,object
hi_InfoScore,object
hi_InfoSign,object
hi_JockeyCode,object
hi_JockeyName,object
hi_JockeyPlace,float64
hi_JockeyQuinella,float64
hi_JockeyScore,object
hi_JockeySign,object
hi_JockeyWin,float64
hi_LastRunJockeyCode,object
hi_LastRunReference,object
hi_LastphaseDelta,float64
hi_LastphaseInOut,object
hi_LastphaseOrder,float64
hi_LastphaseScore,float64
hi_LastphaseScoreOrder,float64
hi_LateStartPer,float64
hi_LsScoreOrder,float64
hi_MiddlephaseDelta,float64
hi_MiddlephaseInOut,object
hi_MiddlephaseOrder,float64
hi_NeckLength,object
hi_OofDelta,float64
hi_OofInOut,object
hi_OofPrediction,float64
hi_OwnerCode,object
hi_OwnerName,object
hi_PacePred,object
hi_PaceScore,float64
hi_PaceScoreOrder,float64
hi_PaddockRank,object
hi_PedigreeID,object
hi_PoistionScore,float64
hi_PopScore,float64
hi_PositionScoreOrder,float64
hi_Pre1RaceID,object
hi_Pre1ResultID,object
hi_Pre2RaceID,object
hi_Pre2ResultID,object
hi_Pre3RaceID,object
hi_Pre3ResultID,object
hi_Pre4RaceID,object
hi_Pre4ResultID,object
hi_Pre5RaceID,object
hi_Pre5ResultID,object
hi_PreciousTicketScore,float64
hi_PreciousTicketSign,object
hi_Prize,float64
hi_RaceID,object
hi_RaceRound,float64
hi_RecuperationType,object
hi_Rotation,float64
hi_RunningScore,float64
hi_RunningScoreOrder,float64
hi_RunningSign,object
hi_RunningStyle,object
hi_RunningStyle2,object
hi_RunningType,object
hi_SexCode,object
hi_ShoulderAngle,object
hi_SpecificInfo1,float64
hi_SpecificInfo2,float64
hi_SpecificInfo3,float64
hi_SpecificInfo4,float64
hi_SpecificInfo5,float64
hi_StableDate,object
hi_StableElapsedDates,float64
hi_StableEvalCode,object
hi_StableRaceCount,float64
hi_StableRank,object
hi_StableScore,float64
hi_StableSign,object
hi_StartScore,float64
hi_TailAngle,object
hi_TailShaking,object
hi_Times,float64
hi_TomoAngle,object
hi_TrainScore,float64
hi_TrainSignCode,object
hi_TrainerCode,object
hi_TrainerDivision,object
hi_TrainerName,object
hi_TrainingSign,object
hi_TransportClass,object
hi_TurfFitness,object
hi_WeightAFD,object
hi_WeightDeltaAFD,object
hi_Year,float64
hr_AtmospherCode,object
hr_BasisWeight,float64
hr_BodyCode,object
hr_ClassCode,object
hr_ClassPrize,float64
hr_ConditionCode,object
hr_CourseCode,object
hr_CourseInfo,object
hr_CoursePosition,object
hr_Disadvantage,float64
hr_DisadvantageFinal,float64
hr_DisadvantageMiddle,float64
hr_DisadvantageOpening,float64
hr_Discipline,object
hr_Distance,float64
hr_FieldStatus,object
hr_FinishingTime,float64
hr_First3FDelta,float64
hr_First3FTime,float64
hr_FirstphaseScore,float64
hr_HaedCount,float64
hr_HorseID,object
hr_HorseName,object
hr_HorseNumber,float64
hr_HorsePace,object
hr_InOut,object
hr_IrregularCategory,object
hr_JRDBRemarks,object
hr_JockeyID,object
hr_JockeyName,object
hr_JrdbField,float64
hr_JrdbIDM,float64
hr_JrdbPace,float64
hr_JrdbRaw,float64
hr_Last3FDelta,float64
hr_Last3FTime,float64
hr_LastPhaseScore,float64
hr_LateStart,float64
hr_LeftRight,object
hr_MorningOdds,float64
hr_MorningPlaceOdds,float64
hr_Odds,float64
hr_OrderOfFinish,float64
hr_PaceScore,float64
hr_Pass1,float64
hr_Pass2,float64
hr_Pass3,float64
hr_Pass4,float64
hr_PaybackPlace,float64
hr_PaybackWin,float64
hr_PedigreeID,object
hr_PlaceOdds,float64
hr_Pops,float64
hr_Position,float64
hr_PositionAtCorner,object
hr_Prize,float64
hr_RaceCategory,object
hr_RaceCondition,object
hr_RaceGrade,object
hr_RaceID,object
hr_RaceInfo,float64
hr_RaceName,object
hr_RacePace,object
hr_RacePaceScore,float64
hr_RaceRemarks,object
hr_RaceRunStyle,object
hr_RegisterdDate,object
hr_ResultID,object
hr_TimeDelta,float64
hr_TrainerID,object
hr_TrainerName,object
hr_WeatherCode,object
hr_Weight,float64
hr_WeightDelta,float64
li_BasisWeight,float64
li_CompositeScore,float64
li_CompositeSign,float64
li_EquipmentChange,object
li_FieldCode,object
li_FieldStatus,float64
li_HorseID,object
li_HorseNumber,float64
li_HorseWeight,float64
li_IDM,float64
li_InfoScore,float64
li_JockeyScore,float64
li_LegInfo,object
li_OddsScore,float64
li_OddsSign,float64
li_PaddockScore,float64
li_PaddokSign,float64
li_PlaceOdds,float64
li_RaceID,object
li_WeatherCode,object
li_WeightDelta,float64
li_WinOdds,float64
pre1_AtmospherCode,object
pre1_BasisWeight,float64
pre1_BodyCode,object
pre1_ClassCode,object
pre1_ClassPrize,float64
pre1_ConditionCode,object
pre1_CourseCode,object
pre1_CourseInfo,object
pre1_CoursePosition,object
pre1_Disadvantage,float64
pre1_DisadvantageFinal,float64
pre1_DisadvantageMiddle,float64
pre1_DisadvantageOpening,float64
pre1_Discipline,object
pre1_Distance,float64
pre1_FieldStatus,object
pre1_FinishingTime,float64
pre1_First3FDelta,float64
pre1_First3FTime,float64
pre1_FirstphaseScore,float64
pre1_HaedCount,float64
pre1_HorseID,object
pre1_HorseName,object
pre1_HorseNumber,float64
pre1_HorsePace,object
pre1_InOut,object
pre1_IrregularCategory,object
pre1_JRDBRemarks,object
pre1_JockeyID,object
pre1_JockeyName,object
pre1_JrdbField,float64
pre1_JrdbIDM,float64
pre1_JrdbPace,float64
pre1_JrdbRaw,float64
pre1_Last3FDelta,float64
pre1_Last3FTime,float64
pre1_LastPhaseScore,float64
pre1_LateStart,float64
pre1_LeftRight,object
pre1_MorningOdds,float64
pre1_MorningPlaceOdds,float64
pre1_Odds,float64
pre1_OrderOfFinish,float64
pre1_PaceScore,float64
pre1_Pass1,float64
pre1_Pass2,float64
pre1_Pass3,float64
pre1_Pass4,float64
pre1_PaybackPlace,float64
pre1_PaybackWin,float64
pre1_PedigreeID,object
pre1_PlaceOdds,float64
pre1_Pops,float64
pre1_Position,float64
pre1_PositionAtCorner,object
pre1_Prize,float64
pre1_RaceCategory,object
pre1_RaceCondition,object
pre1_RaceGrade,object
pre1_RaceID,object
pre1_RaceInfo,float64
pre1_RaceName,object
pre1_RacePace,object
pre1_RacePaceScore,float64
pre1_RaceRemarks,object
pre1_RaceRunStyle,object
pre1_RegisterdDate,object
pre1_ResultID,object
pre1_TimeDelta,float64
pre1_TrainerID,object
pre1_TrainerName,object
pre1_WeatherCode,object
pre1_Weight,float64
pre1_WeightDelta,float64
pre2_AtmospherCode,object
pre2_BasisWeight,float64
pre2_BodyCode,object
pre2_ClassCode,object
pre2_ClassPrize,float64
pre2_ConditionCode,object
pre2_CourseCode,object
pre2_CourseInfo,object
pre2_CoursePosition,object
pre2_Disadvantage,float64
pre2_DisadvantageFinal,float64
pre2_DisadvantageMiddle,float64
pre2_DisadvantageOpening,float64
pre2_Discipline,object
pre2_Distance,float64
pre2_FieldStatus,object
pre2_FinishingTime,float64
pre2_First3FDelta,float64
pre2_First3FTime,float64
pre2_FirstphaseScore,float64
pre2_HaedCount,float64
pre2_HorseID,object
pre2_HorseName,object
pre2_HorseNumber,float64
pre2_HorsePace,object
pre2_InOut,object
pre2_IrregularCategory,object
pre2_JRDBRemarks,object
pre2_JockeyID,object
pre2_JockeyName,object
pre2_JrdbField,float64
pre2_JrdbIDM,float64
pre2_JrdbPace,float64
pre2_JrdbRaw,float64
pre2_Last3FDelta,float64
pre2_Last3FTime,float64
pre2_LastPhaseScore,float64
pre2_LateStart,float64
pre2_LeftRight,object
pre2_MorningOdds,float64
pre2_MorningPlaceOdds,float64
pre2_Odds,float64
pre2_OrderOfFinish,float64
pre2_PaceScore,float64
pre2_Pass1,float64
pre2_Pass2,float64
pre2_Pass3,float64
pre2_Pass4,float64
pre2_PaybackPlace,float64
pre2_PaybackWin,float64
pre2_PedigreeID,object
pre2_PlaceOdds,float64
pre2_Pops,float64
pre2_Position,float64
pre2_PositionAtCorner,object
pre2_Prize,float64
pre2_RaceCategory,object
pre2_RaceCondition,object
pre2_RaceGrade,object
pre2_RaceID,object
pre2_RaceInfo,float64
pre2_RaceName,object
pre2_RacePace,object
pre2_RacePaceScore,float64
pre2_RaceRemarks,object
pre2_RaceRunStyle,object
pre2_RegisterdDate,object
pre2_ResultID,object
pre2_TimeDelta,float64
pre2_TrainerID,object
pre2_TrainerName,object
pre2_WeatherCode,object
pre2_Weight,float64
pre2_WeightDelta,float64
pre3_AtmospherCode,object
pre3_BasisWeight,float64
pre3_BodyCode,object
pre3_ClassCode,object
pre3_ClassPrize,float64
pre3_ConditionCode,object
pre3_CourseCode,object
pre3_CourseInfo,object
pre3_CoursePosition,object
pre3_Disadvantage,float64
pre3_DisadvantageFinal,float64
pre3_DisadvantageMiddle,float64
pre3_DisadvantageOpening,float64
pre3_Discipline,object
pre3_Distance,float64
pre3_FieldStatus,object
pre3_FinishingTime,float64
pre3_First3FDelta,float64
pre3_First3FTime,float64
pre3_FirstphaseScore,float64
pre3_HaedCount,float64
pre3_HorseID,object
pre3_HorseName,object
pre3_HorseNumber,float64
pre3_HorsePace,object
pre3_InOut,object
pre3_IrregularCategory,object
pre3_JRDBRemarks,object
pre3_JockeyID,object
pre3_JockeyName,object
pre3_JrdbField,float64
pre3_JrdbIDM,float64
pre3_JrdbPace,float64
pre3_JrdbRaw,float64
pre3_Last3FDelta,float64
pre3_Last3FTime,float64
pre3_LastPhaseScore,float64
pre3_LateStart,float64
pre3_LeftRight,object
pre3_MorningOdds,float64
pre3_MorningPlaceOdds,float64
pre3_Odds,float64
pre3_OrderOfFinish,float64
pre3_PaceScore,float64
pre3_Pass1,float64
pre3_Pass2,float64
pre3_Pass3,float64
pre3_Pass4,float64
pre3_PaybackPlace,float64
pre3_PaybackWin,float64
pre3_PedigreeID,object
pre3_PlaceOdds,float64
pre3_Pops,float64
pre3_Position,float64
pre3_PositionAtCorner,object
pre3_Prize,float64
pre3_RaceCategory,object
pre3_RaceCondition,object
pre3_RaceGrade,object
pre3_RaceID,object
pre3_RaceInfo,float64
pre3_RaceName,object
pre3_RacePace,object
pre3_RacePaceScore,float64
pre3_RaceRemarks,object
pre3_RaceRunStyle,object
pre3_RegisterdDate,object
pre3_ResultID,object
pre3_TimeDelta,float64
pre3_TrainerID,object
pre3_TrainerName,object
pre3_WeatherCode,object
pre3_Weight,float64
pre3_WeightDelta,float64
ri_CourseCode,object
ri_Datetime,object
ri_Day,float64
ri_Discipline,object
ri_Distance,float64
ri_FirstPrize,float64
ri_HaedCount,float64
ri_InOut,object
ri_LeftrRight,object
ri_Month,float64
ri_RaceGrade,object
ri_RaceID,object
ri_RaceKind,object
ri_RaceRequirements,object
ri_RaceWeights,object
ri_SecondPrize,float64
ri_ThirdPrize,float64
ri_Time,float64
ri_Year,float64
ti_ChaseScore,float64
ti_FiishScoreDelta,float64
ti_FinishScore,float64
ti_HorseID,object
ti_HorseNumber,float64
ti_RaceID,object
ti_TrainAmountEvaluation,object
ti_TrainCourse,object
ti_TrainCourseDirt,object
ti_TrainCourseObstacle,object
ti_TrainCoursePoly,object
ti_TrainCoursePool,object
ti_TrainCourseSlope,object
ti_TrainCourseTurf,object
ti_TrainCourseWood,object
ti_TrainDistance,object
ti_TrainEvaluation,object
ti_TrainPoint,object
ti_TrainType,object
