CourseCode,3,0,2,nd
RaceID,3,0,8,nd
HorseNumber,1,8,10,nan
HorseID,3,0,10,nd
ResultID,3,10,26,nd
PedigreeID,3,10,18,nd
RegisterdDate,3,18,26,nd
HorseName,3,26,62,nd
Distance,1,62,66,nan
Discipline,3,66,67,nd
LeftRight,3,67,68,nd
InOut,3,68,69,nd
FieldStatus,3,69,71,nd
RaceCategory,3,71,73,nd
RaceCondition,3,73,75,nd
RaceRemarks,3,75,78,nd
RaceGrade,3,79,80,nd
RaceName,3,80,130,nd
HaedCount,1,130,132,nan
OrderOfFinish,1,140,142,nan
IrregularCategory,3,142,143,nd
FinishingTime,2,143,147,nan
BasisWeight,2,147,150,nan
JockeyName,3,150,162,nd
TrainerName,3,162,174,nd
Odds,2,174,180,nan
Pops,1,180,182,nan
JrdbIDM,2,182,185,nan
JrdbRaw,2,185,188,nan
JrdbField,2,188,191,nan
JrdbPace,2,191,194,nan
LateStart,2,194,197,nan
Position,2,197,200,nan
Disadvantage,2,200,203,nan
DisadvantageOpening,2,203,206,nan
DisadvantageMiddle,2,206,209,nan
DisadvantageFinal,2,209,212,nan
RaceInfo,2,212,215,nan
CoursePosition,3,215,216,nd
ConditionCode,3,216,217,nd
ClassCode,3,217,219,nd
BodyCode,3,219,220,nd
AtmospherCode,3,220,221,nd
RacePace,3,221,222,nd
HorsePace,3,222,223,nd
FirstphaseScore,2,223,228,nan
LastPhaseScore,2,228,233,nan
PaceScore,2,233,238,nan
RacePaceScore,2,238,243,nan
TimeDelta,2,255,258,nan
First3FTime,2,258,261,nan
Last3FTime,2,261,264,nan
JRDBRemarks,3,264,288,nd
PlaceOdds,2,290,296,nan
MorningOdds,2,296,302,nan
MorningPlaceOdds,2,302,308,nan
Pass1,1,308,310,nan
Pass2,1,310,312,nan
Pass3,1,312,314,nan
Pass4,1,314,316,nan
First3FDelta,2,316,319,nan
Last3FDelta,2,319,322,nan
JockeyID,3,322,327,nd
TrainerID,3,327,332,nd
Weight,2,332,335,nan
WeightDelta,2,335,338,nan
WeatherCode,3,338,339,nd
CourseInfo,3,339,340,nd
RaceRunStyle,3,340,341,nd
PaybackWin,2,341,348,nan
PaybackPlace,2,348,355,nan
Prize,2,355,360,nan
ClassPrize,2,360,365,nan
PositionAtCorner,3,369,370,nd